;"RIS-RIS-QI01_TT";"IPU-IPU-FB18";"SAN-SAN3-FB01";"SAN4-ANL1-QI02";"SAN4-ANL1-QI01";"SAN-SAN3-ML01";"POL_FT04";"IPU_LT01";"PHA5-SED5-QI11";"PHA5-SED5-QI01"
"08-03 15";-0,009966008;0,2673102;1,971091;0,6357721;2,136003;1,808928;2,933725;-0,3658;0,5726939;0,1403213
"08-03 16";0,5820365;-0,06236137;1,783998;1,514519;1,603913;1,808928;2,515767;-0,5012869;0,6831082;0,2267651
"08-03 17";0,5961709;-0,7927004;1,298899;0,8853199;1,235852;1,808928;2,295936;-0,6334761;1,099974;0,4423665
"08-03 18";0,5546713;-1,262066;0,08023418;1,062178;1,770687;1,808928;0,5024508;-0,6104242;1,303466;0,2407959
"08-03 19";0,4398176;-1,646787;-0,2597874;1,134271;1,910286;1,808928;-0,01608816;-0,5639557;1,475916;0,3522439
"08-03 20";0,3252387;-1,52179;-0,5167826;0,6796686;1,215511;1,808928;-0,4030574;-0,4002588;1,466847;0,3791819
"08-03 21";-0,1444563;-0,894087;-0,0317237;0,6287903;0,7452018;1,808928;0,5567518;-0,2072113;1,454168;0,6470817
"08-03 22";-0,310331;0,1254404;0,8852237;0,5147138;0,6593837;1,808928;1,970926;-0,08849954;1,466755;1,179003
"08-03 23";-0,5722166;0,3410829;1,069627;0,3983367;0,355774;1,808928;2,28326;-0,2654328;1,400725;1,308369
"09-03 00";-0,3157848;0,07325643;0,9917021;0,463545;0,3432119;1,808928;1,84424;-0,4317515;0,8192216;1,291647
"09-03 01";0,2447849;0,3483655;1,071004;0,0576993;0,02041247;1,808928;1,802496;-0,3238288;0,5410573;1,151931
"09-03 02";0,1144487;0,213072;1,023101;0,2765167;0,06130176;1,808928;1,584238;-0,4377296;0,5999051;1,310516
"09-03 03";0,1738478;-0,2340378;0,6345236;0,1579547;0,1111282;1,808928;1,041244;-0,5496716;0,6488306;0,9522312
"09-03 04";0,3167765;-0,7194173;0,2627486;0,1314916;-0,1086616;1,808928;0,5031132;-0,5757282;0,5776228;0,9879362
"09-03 05";0,266289;-0,9923548;0,06668092;0,07198235;-0,1649621;1,808928;-0,02746073;-0,5346028;0,4941666;0,8928405
"09-03 06";0,09492322;-1,186863;-0,07701231;-0,05260159;0,09339332;1,808928;-0,2012627;-0,5046677;0,5199497;0,7424731
